                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87604,                0.57873,                 1.1393,                0.99935,                      1,                  0.995,                0.83199,                0.70082,                0.40993,                  1.031,              0.0011337,              0.0011337,              0.0011337
                     37,                 0.8479,                0.52333,                 1.1174,                0.99934,                      1,                  0.995,                0.81521,                0.71901,                0.41417,                 1.0468,               0.001109,               0.001109,               0.001109
                     38,                0.85667,                0.53797,                 1.1016,                0.99935,                      1,                  0.995,                0.81656,                0.73191,                0.44005,                 1.0533,              0.0010842,              0.0010842,              0.0010842
                     39,                0.81706,                0.53384,                 1.0981,                0.99929,                      1,                  0.995,                0.83129,                0.72412,                0.43384,                 1.0578,              0.0010595,              0.0010595,              0.0010595
                     40,                0.79383,                0.51989,                 1.1181,                0.99932,                      1,                  0.995,                0.80959,                0.74265,                0.41383,                 1.0619,              0.0010347,              0.0010347,              0.0010347
                     41,                0.80158,                0.51103,                 1.0728,                0.99936,                      1,                  0.995,                0.82324,                0.68086,                0.39451,                 1.0203,                0.00101,                0.00101,                0.00101
                     42,                0.79257,                0.49016,                 1.0642,                0.99937,                      1,                  0.995,                0.82243,                0.69239,                0.40919,                 1.0196,             0.00098525,             0.00098525,             0.00098525
                     43,                0.82903,                0.51299,                 1.1119,                0.99938,                      1,                  0.995,                0.82135,                0.71341,                0.41388,                 1.0403,              0.0009605,              0.0009605,              0.0009605
                     44,                0.78551,                0.48372,                 1.0764,                0.99932,                      1,                  0.995,                0.81961,                0.69575,                0.39542,                 1.0278,             0.00093575,             0.00093575,             0.00093575
                     45,                0.73436,                0.46236,                 1.0472,                0.99878,                      1,                  0.995,                 0.8214,                0.70102,                0.39072,                 1.0359,               0.000911,               0.000911,               0.000911
                     46,                 0.8193,                0.51482,                 1.0935,                0.99723,                      1,                  0.995,                0.82447,                0.69507,                0.39189,                 1.0432,             0.00088625,             0.00088625,             0.00088625
                     47,                0.74925,                0.46974,                 1.0632,                0.99919,                      1,                  0.995,                0.82671,                 0.7041,                0.41279,                  1.032,              0.0008615,              0.0008615,              0.0008615
                     48,                 0.8013,                0.46194,                 1.0706,                0.99923,                      1,                  0.995,                0.82598,                0.70671,                0.40849,                 1.0324,             0.00083675,             0.00083675,             0.00083675
                     49,                0.78767,                0.45903,                 1.0664,                0.99925,                      1,                  0.995,                0.83512,                0.69314,                0.38605,                 1.0237,               0.000812,               0.000812,               0.000812
                     50,                0.80036,                0.46663,                 1.0734,                0.99924,                      1,                  0.995,                 0.8326,                0.69129,                0.37281,                 1.0194,             0.00078725,             0.00078725,             0.00078725
                     51,                0.80717,                0.47257,                 1.0672,                0.99927,                      1,                  0.995,                0.82907,                0.67281,                0.36192,                 1.0079,              0.0007625,              0.0007625,              0.0007625
                     52,                0.72805,                0.46554,                 1.0511,                0.99929,                      1,                  0.995,                0.82936,                0.64427,                0.36029,                0.99003,             0.00073775,             0.00073775,             0.00073775
                     53,                0.80779,                0.46827,                 1.0759,                0.99929,                      1,                  0.995,                0.83848,                0.63092,                0.35866,                 0.9811,               0.000713,               0.000713,               0.000713
